method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
greedyKTA,corners,6.0,30,0.95,0.97,0.83,0.89,0.8899009108197378,0.895959595959596,0.8926282051282051,25.76359754100031,651092,0.19606539607048035,0.17739179730415344
greedyKTA,corners,8.0,30,0.95,0.98,0.83,0.89,0.8894583458948849,0.8919191919191919,0.8886217948717949,29.212481084000046,651122,0.19606539607048035,0.23040074110031128
greedyKTA,corners,10.0,30,0.95,0.99,0.83,0.96,0.959983993597439,0.96,0.9607371794871795,26.797376125000028,651160,0.19606539607048035,0.20140701532363892
fullKTA,corners,,40,0.95,1.0,0.83,0.96,0.959983993597439,0.96,0.9607371794871795,25.688001084000007,829150,0.19606539607048035,0.4517709016799927
randomKTA,corners,2.0,40,0.95,0.96,0.83,0.87,0.8699869986998701,0.8725411481332799,0.8717948717948718,21.84670708299973,819056,0.19606539607048035,0.1898072063922882
randomKTA,corners,4.0,40,0.95,0.97,0.83,0.9,0.8999599839935974,0.9,0.9006410256410255,22.256660457999715,819070,0.19606539607048035,0.21555264294147491
randomKTA,corners,6.0,40,0.95,0.99,0.83,0.92,0.9198717948717949,0.9198717948717949,0.9198717948717949,22.22355270800017,819092,0.19606539607048035,0.2966284155845642
randomKTA,corners,8.0,40,0.95,0.99,0.83,0.91,0.9095568284594513,0.9121212121212121,0.9086538461538461,23.72837924999976,819122,0.19606539607048035,0.28091734647750854
randomKTA,corners,10.0,40,0.95,0.98,0.83,0.9,0.8996386993175431,0.9009661835748792,0.8990384615384616,24.265438583000105,819160,0.19606539607048035,0.30580151081085205
quackKTA,corners,2.0,40,0.95,0.99,0.83,0.89,0.8899889988998899,0.8926134082697712,0.8918269230769231,127.06506216700018,8958100,0.1977996677160263,0.2936960458755493
quackKTA,corners,4.0,40,0.95,0.99,0.83,0.89,0.8899889988998899,0.8926134082697712,0.8918269230769231,130.46817554200015,8958100,0.1977996677160263,0.2936960458755493
quackKTA,corners,6.0,40,0.95,0.99,0.83,0.89,0.8899889988998899,0.8926134082697712,0.8918269230769231,126.95895141599976,8958100,0.1977996677160263,0.2936960458755493
quackKTA,corners,8.0,40,0.95,0.99,0.83,0.89,0.8899889988998899,0.8926134082697712,0.8918269230769231,130.67320900000004,8958100,0.1977996677160263,0.2936960458755493
quackKTA,corners,10.0,40,0.95,0.99,0.83,0.89,0.8899889988998899,0.8926134082697712,0.8918269230769231,131.13282795799978,8958100,0.1977996677160263,0.2936960458755493
centroidBasedKTA,corners,2.0,400,0.95,0.95,0.83,0.92,0.9199679871948779,0.9199999999999999,0.9206730769230769,51.244824792000145,837300,0.1664721816778183,0.1688450276851654
